Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CAN1 (1)
184.75989,0,0,0,0,0,0,0,0,,None,185.76716646688,0,0,9860428
184.76156,0,0,0,0,0,0,0,0,,None,185.76883646688,0,0,9506796
185.08909,0,0,0,0,0,0,0,0,,None,186.09636646688,0,0,1402394
185.09451,0,0,0,0,0,0,0,0,,None,186.10178646688,0,0,2880828
185.09613,7,15,0,4,0,0,1,0,CHNP,Lipid,186.10340646688,0.142638012474852,1,2759693
185.09755,0,0,0,0,0,0,0,0,,None,186.10482646688,0,0,4079950
187.09777,9,16,4,0,0,0,0,0,CHO,Protein,188.10504646688,-0.99659676087948,1,883076
189.17899,0,0,0,0,0,0,0,0,,None,190.18626646688,0,0,465420
205.03591,0,0,0,0,0,0,0,0,,None,206.04318646688,0,0,867811
211.13442,0,0,0,0,0,0,0,0,,None,212.14169646688,0,0,418617
227.2023,0,0,0,0,0,0,0,0,,None,228.20957646688,0,0,1637905
238.03067,7,14,4,1,0,1,1,0,CHONSP,AminoSugar,239.03794646688,0.705645787764983,2,1601493
238.5337,0,0,0,0,0,0,0,0,,None,239.54097646688,0,0,2114735
238.53958,0,0,0,0,0,0,0,0,,None,239.54685646688,0,0,870251
238.54247,0,0,0,0,0,0,0,0,,None,239.54974646688,0,0,1277724
238.55187,0,0,0,0,0,0,0,0,,None,239.55914646688,0,0,501681
239.03565,7,8,2,6,0,1,0,0,CHONS,Lignin,240.04292646688,0.0739672701417842,1,559354
241.21797,0,0,0,0,0,0,0,0,,None,242.22524646688,0,0,999696
242.17682,0,0,0,0,0,0,0,0,,None,243.18409646688,0,0,7844929
243.1802,0,0,0,0,0,0,0,0,,None,244.18747646688,0,0,1101784
253.21828,0,0,0,0,0,0,0,0,,None,254.22555646688,0,0,907024
254.94833,0,0,0,0,0,0,0,0,,None,255.95560646688,0,0,753692
254.97887,10,8,4,0,0,2,0,0,CHOS,Lignin,255.98614646688,0.990906435728015,2,886526
255.00198,0,0,0,0,0,0,0,0,,None,256.00925646688,0,0,929021
255.00708,11,13,1,0,0,2,1,0,CHOSP,UnsatHC,256.01435646688,0.728328374098659,1,947967
255.23359,0,0,0,0,0,0,0,0,,None,256.24086646688,0,0,249804848
255.56605,0,0,0,0,0,0,0,0,,None,256.57332646688,0,0,821812
255.5815,0,0,0,0,0,0,0,0,,None,256.58877646688,0,0,800825
255.59187,0,0,0,0,0,0,0,0,,None,256.59914646688,0,0,774116
255.60212,0,0,0,0,0,0,0,0,,None,256.60939646688,0,0,784095
255.60717,0,0,0,0,0,0,0,0,,None,256.61444646688,0,0,762625
255.61222,0,0,0,0,0,0,0,0,,None,256.61949646688,0,0,774851
255.6149,0,0,0,0,0,0,0,0,,None,256.62217646688,0,0,797539
255.61762,0,0,0,0,0,0,0,0,,None,256.62489646688,0,0,767228
255.75901,0,0,0,0,0,0,0,0,,None,256.76628646688,0,0,675401
255.82083,0,0,0,0,0,0,0,0,,None,256.82810646688,0,0,640477
256.23689,0,0,0,0,0,0,0,0,,None,257.24416646688,0,0,42180712
257.24042,16,35,0,0,0,0,1,0,CHP,Lipid,258.24769646688,-0.227817636988961,1,3601102
265.1487,0,0,0,0,0,0,0,0,,None,266.15597646688,0,0,1858382
269.21348,0,0,0,0,0,0,0,0,,None,270.22075646688,0,0,601506
269.24925,0,0,0,0,0,0,0,0,,None,270.25652646688,0,0,4070405
270.25315,0,0,0,0,0,0,0,0,,None,271.26042646688,0,0,802077
273.09847,7,15,2,8,0,0,1,0,CHONP,Lipid,274.10574646688,-0.68655831730507,1,845120
277.13031,13,26,2,0,0,2,0,0,CHOS,Lipid,278.13758646688,-0.593260630773258,1,2712007
277.13736,0,0,0,0,0,0,0,0,,None,278.14463646688,0,0,1006056
277.14386,0,0,0,0,0,0,0,0,,None,278.15113646688,0,0,1051313
277.15678,0,0,0,0,0,0,0,0,,None,278.16405646688,0,0,653139
277.21814,11,30,0,6,0,1,0,0,CHNS,Other,278.22541646688,-0.541944305175627,1,2254325
277.63208,0,0,0,0,0,0,0,0,,None,278.63935646688,0,0,681504
279.23371,0,0,0,0,0,0,0,0,,None,280.24098646688,0,0,33001254
280.23711,0,0,0,0,0,0,0,0,,None,281.24438646688,0,0,6306049
280.24169,0,0,0,0,0,0,0,0,,None,281.24896646688,0,0,1484002
281.24943,0,0,0,0,0,0,0,0,,None,282.25670646688,0,0,63112796
281.31305,0,0,0,0,0,0,0,0,,None,282.32032646688,0,0,833700
282.15675,0,0,0,0,0,0,0,0,,None,283.16402646688,0,0,695755
282.25272,0,0,0,0,0,0,0,0,,None,283.25999646688,0,0,11744049
282.35398,0,0,0,0,0,0,0,0,,None,283.36125646688,0,0,674736
282.42294,0,0,0,0,0,0,0,0,,None,283.43021646688,0,0,746442
282.46691,0,0,0,0,0,0,0,0,,None,283.47418646688,0,0,781041
282.47319,0,0,0,0,0,0,0,0,,None,283.48046646688,0,0,829666
282.47944,0,0,0,0,0,0,0,0,,None,283.48671646688,0,0,873475
282.49206,0,0,0,0,0,0,0,0,,None,283.49933646688,0,0,837717
282.50143,0,0,0,0,0,0,0,0,,None,283.50870646688,0,0,852854
282.51092,0,0,0,0,0,0,0,0,,None,283.51819646688,0,0,935239
282.5172,0,0,0,0,0,0,0,0,,None,283.52447646688,0,0,859832
282.52348,0,0,0,0,0,0,0,0,,None,283.53075646688,0,0,885897
282.52662,0,0,0,0,0,0,0,0,,None,283.53389646688,0,0,846954
282.52982,0,0,0,0,0,0,0,0,,None,283.53709646688,0,0,918618
282.53604,0,0,0,0,0,0,0,0,,None,283.54331646688,0,0,856459
282.53916,0,0,0,0,0,0,0,0,,None,283.54643646688,0,0,835804
282.54233,0,0,0,0,0,0,0,0,,None,283.54960646688,0,0,864732
282.54859,0,0,0,0,0,0,0,0,,None,283.55586646688,0,0,948573
282.558,0,0,0,0,0,0,0,0,,None,283.56527646688,0,0,904542
282.56115,0,0,0,0,0,0,0,0,,None,283.56842646688,0,0,906847
282.57676,0,0,0,0,0,0,0,0,,None,283.58403646688,0,0,966849
282.57999,0,0,0,0,0,0,0,0,,None,283.58726646688,0,0,1026770
282.58315,0,0,0,0,0,0,0,0,,None,283.59042646688,0,0,997426
282.58632,0,0,0,0,0,0,0,0,,None,283.59359646688,0,0,951651
282.58943,0,0,0,0,0,0,0,0,,None,283.59670646688,0,0,919715
282.59262,0,0,0,0,0,0,0,0,,None,283.59989646688,0,0,1012292
282.59882,0,0,0,0,0,0,0,0,,None,283.60609646688,0,0,947092
282.60198,0,0,0,0,0,0,0,0,,None,283.60925646688,0,0,983477
282.60819,0,0,0,0,0,0,0,0,,None,283.61546646688,0,0,1028518
282.61139,0,0,0,0,0,0,0,0,,None,283.61866646688,0,0,1101126
282.61461,0,0,0,0,0,0,0,0,,None,283.62188646688,0,0,1044839
282.61776,0,0,0,0,0,0,0,0,,None,283.62503646688,0,0,992775
282.62086,0,0,0,0,0,0,0,0,,None,283.62813646688,0,0,1024088
282.62401,0,0,0,0,0,0,0,0,,None,283.63128646688,0,0,984536
282.62712,0,0,0,0,0,0,0,0,,None,283.63439646688,0,0,948681
282.63337,0,0,0,0,0,0,0,0,,None,283.64064646688,0,0,1055450
282.63651,0,0,0,0,0,0,0,0,,None,283.64378646688,0,0,1082026
282.63975,0,0,0,0,0,0,0,0,,None,283.64702646688,0,0,1057339
282.64279,0,0,0,0,0,0,0,0,,None,283.65006646688,0,0,1044059
282.64599,0,0,0,0,0,0,0,0,,None,283.65326646688,0,0,1081451
282.64913,0,0,0,0,0,0,0,0,,None,283.65640646688,0,0,1041868
282.65229,0,0,0,0,0,0,0,0,,None,283.65956646688,0,0,1063500
282.65541,0,0,0,0,0,0,0,0,,None,283.66268646688,0,0,1064909
282.65854,0,0,0,0,0,0,0,0,,None,283.66581646688,0,0,1113357
282.66172,0,0,0,0,0,0,0,0,,None,283.66899646688,0,0,1170542
282.66492,0,0,0,0,0,0,0,0,,None,283.67219646688,0,0,1119790
282.66803,0,0,0,0,0,0,0,0,,None,283.67530646688,0,0,1102495
282.67116,0,0,0,0,0,0,0,0,,None,283.67843646688,0,0,1070911
282.67424,0,0,0,0,0,0,0,0,,None,283.68151646688,0,0,1112032
282.67743,0,0,0,0,0,0,0,0,,None,283.68470646688,0,0,1131312
282.68058,0,0,0,0,0,0,0,0,,None,283.68785646688,0,0,1131537
282.68375,0,0,0,0,0,0,0,0,,None,283.69102646688,0,0,1141665
282.68691,0,0,0,0,0,0,0,0,,None,283.69418646688,0,0,1134306
282.69005,0,0,0,0,0,0,0,0,,None,283.69732646688,0,0,1100034
282.69313,0,0,0,0,0,0,0,0,,None,283.70040646688,0,0,1058370
282.69631,0,0,0,0,0,0,0,0,,None,283.70358646688,0,0,1186819
282.69943,0,0,0,0,0,0,0,0,,None,283.70670646688,0,0,1110435
282.70254,0,0,0,0,0,0,0,0,,None,283.70981646688,0,0,1118660
282.70568,0,0,0,0,0,0,0,0,,None,283.71295646688,0,0,1134756
282.70882,0,0,0,0,0,0,0,0,,None,283.71609646688,0,0,1206277
282.71198,0,0,0,0,0,0,0,0,,None,283.71925646688,0,0,1239493
282.71517,0,0,0,0,0,0,0,0,,None,283.72244646688,0,0,1278742
282.7183,0,0,0,0,0,0,0,0,,None,283.72557646688,0,0,1172486
282.72145,0,0,0,0,0,0,0,0,,None,283.72872646688,0,0,1280935
282.72462,0,0,0,0,0,0,0,0,,None,283.73189646688,0,0,1205623
282.72778,0,0,0,0,0,0,0,0,,None,283.73505646688,0,0,1187528
282.73091,0,0,0,0,0,0,0,0,,None,283.73818646688,0,0,1177592
282.73402,0,0,0,0,0,0,0,0,,None,283.74129646688,0,0,1207816
282.73712,0,0,0,0,0,0,0,0,,None,283.74439646688,0,0,1154825
282.74027,0,0,0,0,0,0,0,0,,None,283.74754646688,0,0,1252729
282.74343,0,0,0,0,0,0,0,0,,None,283.75070646688,0,0,1183034
282.74653,0,0,0,0,0,0,0,0,,None,283.75380646688,0,0,1257530
282.74967,0,0,0,0,0,0,0,0,,None,283.75694646688,0,0,1286955
282.75283,0,0,0,0,0,0,0,0,,None,283.76010646688,0,0,1356667
282.75604,0,0,0,0,0,0,0,0,,None,283.76331646688,0,0,1315516
282.7592,0,0,0,0,0,0,0,0,,None,283.76647646688,0,0,1315900
282.76234,0,0,0,0,0,0,0,0,,None,283.76961646688,0,0,1304381
283.26498,0,0,0,0,0,0,0,0,,None,284.27225646688,0,0,563188608
283.76607,0,0,0,0,0,0,0,0,,None,284.77334646688,0,0,1336720
284.26844,0,0,0,0,0,0,0,0,,None,285.27571646688,0,0,102871064
285.27189,18,39,0,0,0,0,1,0,CHP,Lipid,286.27916646688,-0.798887962394552,1,9193387
286.27209,0,0,0,0,0,0,0,0,,None,287.27936646688,0,0,759183
289.07232,7,20,6,2,0,0,2,0,CHONP,Other,290.07959646688,0.216968448677193,3,64803020
290.07578,6,20,6,2,1,0,2,0,CHONP,Other,291.08305646688,-0.145058529058271,2,10276894
291.07631,11,13,2,6,0,0,1,0,CHONP,Lignin,292.08358646688,0.594815416026846,1,1225454
293.17652,10,26,2,6,0,1,0,0,CHONS,Other,294.18379646688,-0.00566611763064042,1,844218
297.24434,0,0,0,0,0,0,0,0,,None,298.25161646688,0,0,5185680
297.28035,0,0,0,0,0,0,0,0,,None,298.28762646688,0,0,979398
298.24761,12,29,0,9,0,0,0,0,CHN,Lipid,299.25488646688,-0.984074758136877,1,902961
299.07784,14,20,3,0,0,2,0,0,CHOS,Lignin,300.08511646688,0.897816670058883,4,1226152
299.26003,0,0,0,0,0,0,0,0,,None,300.26730646688,0,0,875238
301.03619,16,14,2,0,0,2,0,0,CHOS,Lignin,302.04346646688,0.180790932730002,3,2050003
303.05128,15,12,7,0,0,0,0,0,CHO,Lignin,304.05855646688,-0.834467488658412,3,988769
309.28034,0,0,0,0,0,0,0,0,,None,310.28761646688,0,0,1217836
311.16921,10,28,1,6,0,2,0,0,CHONS,Other,312.17648646688,0.366668294924211,1,894141
311.29622,0,0,0,0,0,0,0,0,,None,312.30349646688,0,0,12189331
312.29946,0,0,0,0,0,0,0,0,,None,313.30673646688,0,0,2603452
315.0519,17,16,2,0,0,2,0,0,CHOS,UnsatHC,316.05917646688,-0.0168610197325188,3,947206
315.07312,14,20,4,0,0,2,0,0,CHOS,Lignin,316.08039646688,-0.3035825097375,2,857307
315.11003,15,16,4,4,0,0,0,0,CHON,Lignin,316.11730646688,-0.479075573728215,2,697264
319.08332,17,20,2,0,0,2,0,0,CHOS,UnsatHC,320.09059646688,-0.39114138733383,2,668275
325.09345,16,22,3,0,0,2,0,0,CHOS,Lignin,326.10072646688,0.949049158359045,4,3218230
325.18509,11,30,1,6,0,2,0,0,CHONS,Other,326.19236646688,-0.353995347131397,1,1178075
329.08848,15,22,4,0,0,2,0,0,CHOS,Lignin,330.09575646688,0.588034581490621,3,3870479
336.2381,13,27,0,11,0,0,0,0,CHN,Lipid,337.24537646688,-0.849657252558016,1,900746
336.27421,0,0,0,0,0,0,0,0,,None,337.28148646688,0,0,1083871
339.20025,19,32,3,0,0,1,0,0,CHOS,Lipid,340.20752646688,-0.913805121315843,2,949594
339.32762,0,0,0,0,0,0,0,0,,None,340.33489646688,0,0,2416512
340.33173,0,0,0,0,0,0,0,0,,None,341.33900646688,0,0,513840
341.10947,13,26,6,0,0,2,0,0,CHOS,Protein,342.11674646688,0.974755908522915,3,2456382
342.11254,12,26,6,0,1,2,0,0,CHOS,Protein,343.11981646688,1.80204724497863,1,463165
353.34392,0,0,0,0,0,0,0,0,,None,354.35119646688,0,0,496278
355.10412,17,24,4,0,0,2,0,0,CHOS,Lignin,356.11139646688,0.573337225496122,3,979734
367.35885,0,0,0,0,0,0,0,0,,None,368.36612646688,0,0,1473414
371.09825,16,20,10,0,0,0,0,0,CHO,Lignin,372.10552646688,0.323553700315638,3,974972
377.08871,19,22,4,0,0,2,0,0,CHOS,Lignin,378.09598646688,-0.0949290160874332,4,606085
377.13607,20,29,1,0,0,0,3,0,CHOP,UnsatHC,378.14334646688,-0.585449624102187,5,599705
385.12392,20,24,2,2,0,0,2,0,CHONP,UnsatHC,386.13119646688,0.270835718389653,4,2421661
385.62555,0,0,0,0,0,0,0,0,,None,386.63282646688,0,0,1129690
389.12458,20,22,8,0,0,0,0,0,CHO,Lignin,390.13185646688,-0.99654481825507,6,1701092
391.15016,21,29,3,0,0,1,1,0,CHOSP,Lignin,392.15743646688,0.167102071387732,5,637785
399.14046,12,29,3,6,0,2,1,0,CHONSP,Lipid,400.14773646688,0.700370124470756,1,2767624
399.64203,0,0,0,0,0,0,0,0,,None,400.64930646688,0,0,1200046
429.24967,22,38,8,0,0,0,0,0,CHO,Protein,430.25694646688,-0.646753718360136,4,2097926
457.28179,25,46,3,0,0,2,0,0,CHOS,Lipid,458.28906646688,-0.501308010216564,3,4611958
461.07352,32,15,2,0,0,0,1,0,CHOP,ConHC,462.08079646688,0.367400725801965,9,22498194
462.07697,31,15,2,0,1,0,1,0,CHOP,ConHC,463.08424646688,0.161108093185748,10,6395274
463.08915,32,17,2,0,0,0,1,0,CHOP,ConHC,464.09642646688,0.409037883304143,10,89927440
463.32836,25,52,3,0,0,2,0,0,CHOS,Lipid,464.33563646688,0.324008342741444,3,10867101
464.09263,31,17,2,0,1,0,1,0,CHOP,ConHC,465.09990646688,0.139047157479774,10,22115860
465.09463,25,25,3,0,0,0,3,0,CHOP,UnsatHC,466.10190646688,-0.541229453328704,13,4457839
473.28557,25,47,4,0,0,1,1,0,CHOSP,Lipid,474.29284646688,0.887068449569915,4,3964739
476.08038,27,16,4,3,0,0,1,0,CHONP,ConHC,477.08765646688,0.389992735065447,6,4021777
476.10715,28,19,3,3,0,1,0,0,CHONS,ConHC,477.11442646688,0.598839406628831,11,4102258
476.11608,17,23,13,3,0,0,0,0,CHON,Tannin,477.12335646688,-0.563010962189532,10,4132754
476.1339,30,25,1,1,0,0,2,0,CHONP,UnsatHC,477.14117646688,-0.0817726113549297,6,4205266
476.14282,20,33,6,1,0,1,2,0,CHONSP,Protein,477.15009646688,0.597380619108721,9,4174962
476.15171,20,32,8,1,0,1,1,0,CHONSP,Protein,477.15898646688,-0.759197018809795,10,4282514
476.16065,31,28,0,1,0,1,1,0,CHNSP,UnsatHC,477.16792646688,0.168991073205421,8,4339890
476.16958,20,32,10,1,0,0,1,0,CHONP,Protein,477.17685646688,-0.992720987150789,7,4372050
476.17852,31,28,2,1,0,0,1,0,CHONP,UnsatHC,477.18579646688,-0.0645632796815472,8,4451570
476.18744,21,36,7,1,0,1,1,0,CHONSP,Protein,477.19471646688,0.614526125003379,5,4404498
476.19636,21,35,9,1,0,1,0,0,CHONS,Protein,477.20363646688,-0.804791184956544,7,4512306
476.20527,32,31,1,1,0,1,0,0,CHONS,UnsatHC,477.21254646688,0.186175993600286,6,4524114
476.21421,21,35,11,1,0,0,0,0,CHON,Protein,477.22148646688,-0.996382379060707,7,4650482
476.22314,32,31,3,1,0,0,0,0,CHON,UnsatHC,477.23041646688,-0.047357165958786,5,4569362
476.23204,22,39,8,1,0,1,0,0,CHONS,Protein,477.23931646688,0.673576147021587,5,4724018
476.24099,26,42,1,1,0,0,3,0,CHONP,Lipid,477.24826646688,-0.716527233488759,5,4744786
476.24993,22,39,10,1,0,0,0,0,CHON,Protein,477.25720646688,0.398131693731937,3,4828658
476.25886,25,39,4,3,0,1,0,0,CHONS,Lipid,477.26613646688,-0.0189013620310634,4,4823569
476.26777,27,45,0,1,0,1,2,0,CHNSP,Lipid,477.27504646688,-0.528641046324299,3,4844081
476.27671,25,39,6,3,0,0,0,0,CHON,Lipid,477.28398646688,-0.210496858990059,3,5003089
476.28564,27,45,2,1,0,0,2,0,CHONP,Lipid,477.29291646688,-0.762116862474257,2,4904689
476.29456,28,40,0,5,0,0,1,0,CHNP,UnsatHC,477.30183646688,0.620892477899283,2,5080977
476.30351,28,39,2,5,0,0,0,0,CHON,UnsatHC,477.31078646688,-0.860958502648888,3,5029809
476.3124,28,48,1,1,0,1,1,0,CHONSP,Lipid,477.31967646688,-0.532345077231799,2,5036497
476.32132,28,49,1,1,0,0,2,0,CHONP,Lipid,477.32859646688,0.715970764258772,3,5181681
476.33021,28,48,3,1,0,0,1,0,CHONP,Lipid,477.33748646688,-0.640101791094864,2,5207825
476.33917,29,51,0,1,0,2,0,0,CHNS,Lipid,477.34644646688,-0.323548192613885,3,5295153
476.34808,29,52,0,1,0,1,1,0,CHNSP,Lipid,477.35535646688,0.945642515376341,2,5304529
476.35703,29,51,2,1,0,1,0,0,CHONS,Lipid,477.36430646688,-0.536048415302652,4,5499376
476.36597,29,52,2,1,0,0,1,0,CHONP,Lipid,477.37324646688,0.670254821252042,1,5509648
476.37489,29,51,4,1,0,0,0,0,CHON,Lipid,477.38216646688,-0.748532737715942,2,5481008
476.3838,0,0,0,0,0,0,0,0,,None,477.39107646688,0,0,5638608
476.39274,30,55,1,1,0,1,0,0,CHONS,Lipid,477.40001646688,0.878960841088022,2,5635312
476.40166,24,57,0,5,0,0,2,0,CHNP,Lipid,477.40893646688,-0.0347525544139455,2,5788560
476.4106,30,55,3,1,0,0,0,0,CHON,Lipid,477.41787646688,0.666439477225223,1,5885872
476.41954,25,51,0,9,0,0,0,0,CHN,Lipid,477.42681646688,-0.154543015706489,1,5904719
476.42849,0,0,0,0,0,0,0,0,,None,477.43576646688,0,0,6007791
476.4374,0,0,0,0,0,0,0,0,,None,477.44467646688,0,0,6027663
476.44633,0,0,0,0,0,0,0,0,,None,477.45360646688,0,0,6211631
476.45527,0,0,0,0,0,0,0,0,,None,477.46254646688,0,0,6188623
476.46418,0,0,0,0,0,0,0,0,,None,477.47145646688,0,0,6274158
476.47311,0,0,0,0,0,0,0,0,,None,477.48038646688,0,0,6400398
476.48206,0,0,0,0,0,0,0,0,,None,477.48933646688,0,0,6555566
476.49098,0,0,0,0,0,0,0,0,,None,477.49825646688,0,0,6579662
476.49992,0,0,0,0,0,0,0,0,,None,477.50719646688,0,0,6736110
476.50884,0,0,0,0,0,0,0,0,,None,477.51611646688,0,0,6739469
476.51778,0,0,0,0,0,0,0,0,,None,477.52505646688,0,0,6951725
476.52672,0,0,0,0,0,0,0,0,,None,477.53399646688,0,0,7047501
476.53565,0,0,0,0,0,0,0,0,,None,477.54292646688,0,0,7155821
476.54459,0,0,0,0,0,0,0,0,,None,477.55186646688,0,0,7310220
476.55353,0,0,0,0,0,0,0,0,,None,477.56080646688,0,0,7393196
476.56248,0,0,0,0,0,0,0,0,,None,477.56975646688,0,0,7558092
477.06803,22,22,8,0,0,2,0,0,CHOS,Lignin,478.07530646688,0.632946558599526,9,1145707008
477.5745,0,0,0,0,0,0,0,0,,None,478.58177646688,0,0,6096550
477.58347,0,0,0,0,0,0,0,0,,None,478.59074646688,0,0,5984709
477.59244,0,0,0,0,0,0,0,0,,None,478.59971646688,0,0,5798116
477.6014,0,0,0,0,0,0,0,0,,None,478.60867646688,0,0,5755395
477.6104,0,0,0,0,0,0,0,0,,None,478.61767646688,0,0,5661090
477.61938,0,0,0,0,0,0,0,0,,None,478.62665646688,0,0,5431105
477.62834,0,0,0,0,0,0,0,0,,None,478.63561646688,0,0,5342560
477.63731,0,0,0,0,0,0,0,0,,None,478.64458646688,0,0,5218815
477.64629,0,0,0,0,0,0,0,0,,None,478.65356646688,0,0,5149598
477.65526,0,0,0,0,0,0,0,0,,None,478.66253646688,0,0,5006141
477.66423,0,0,0,0,0,0,0,0,,None,478.67150646688,0,0,4907996
477.6732,0,0,0,0,0,0,0,0,,None,478.68047646688,0,0,4808571
477.68218,0,0,0,0,0,0,0,0,,None,478.68945646688,0,0,4783642
477.69117,0,0,0,0,0,0,0,0,,None,478.69844646688,0,0,4602041
477.70013,0,0,0,0,0,0,0,0,,None,478.70740646688,0,0,4546776
477.7091,0,0,0,0,0,0,0,0,,None,478.71637646688,0,0,4421367
477.71807,0,0,0,0,0,0,0,0,,None,478.72534646688,0,0,4405270
477.72706,0,0,0,0,0,0,0,0,,None,478.73433646688,0,0,4291125
477.73602,0,0,0,0,0,0,0,0,,None,478.74329646688,0,0,4146515
477.74499,0,0,0,0,0,0,0,0,,None,478.75226646688,0,0,4167026
477.75398,0,0,0,0,0,0,0,0,,None,478.76125646688,0,0,4050193
477.76294,0,0,0,0,0,0,0,0,,None,478.77021646688,0,0,3883696
477.77188,0,0,0,0,0,0,0,0,,None,478.77915646688,0,0,3897935
477.78084,0,0,0,0,0,0,0,0,,None,478.78811646688,0,0,3776622
477.7898,12,5,0,3,0,9,0,0,CHNS,ConHC,478.79707646688,-0.194405489582947,1,3708045
478.07186,21,22,8,0,1,2,0,0,CHOS,Lignin,479.07913646688,-0.360203705198995,9,262461264
479.07434,32,16,3,0,0,1,0,0,CHOS,ConHC,480.08161646688,0.830281781981558,12,52959352
480.07618,24,19,8,1,0,1,0,0,CHONS,ConHC,481.08345646688,-0.663471120704753,9,8564855
483.4429,31,56,0,4,0,0,0,0,CHN,Lipid,484.45017646688,0.663332444983898,1,4239333
489.2777,28,43,5,0,0,0,1,0,CHOP,Lipid,490.28497646688,-0.337489598858372,7,5321399
